pt,sp,ib,hi,eo,es,vg,z ,cf,gx,sm,nk,tp,xp,ux,ty,fv,tu,cn,rx,oe,du,g ,ik,oat,jb,ed,er,l ,ba,xm,ym,cl,co,ng,qs,ho,xbw,w ,c ,s ,kw,sm,bo,ct,cc,kc,sb,lh,lc,hg,gc,si,pl,pa,o ,mw,rr,fc,la,ln,lx,ll,lp,jo,ec,cd,ad,jy,sf,bp,nv,se,no,br,ra,ru,pe,dx
PTM01 Index,SPZ83 Index,IBU92 Index,HIV92 Index,EON89 Index,ESH99 Index,VGH00 Index,Z U89 Index,CFM89 Index,GXM92 Index,SMJ92 Index,NKM90 Index,TPZ91 Index,XPZ01 Index,UXX04 Index,TYZ83 Comdty,FVZ89 Comdty,TUH92 Comdty,CNM91 Comdty,RXM92 Comdty,OEM93 Comdty,DUZ98 Comdty,G U84 Comdty,IKM11 Comdty,OATZ13 Comdty,JBM87 Comdty,EDU88 Comdty,ERN99 Comdty,L U89 Comdty,BAH92 Comdty,XMM89 Comdty,YMZ90 Comdty,CLZ83 Comdty,COH89 Comdty,NGZ90 Comdty,QSG90 Comdty,HOF87 Comdty,XBWN87 Comdty,W U60 Comdty,C Z60 Comdty,S U60 Comdty,KWK71 Comdty,SMV60 Comdty,BON60 Comdty,CTZ61 Comdty,CCK61 Comdty,KCG74 Comdty,SBU62 Comdty,LHZ87 Comdty,LCJ66 Comdty,HGN89 Comdty,GCN75 Comdty,SIN75 Comdty,PLN87 Comdty,PAN87 Comdty,O H61 Comdty,MWH71 Comdty,RRN90 Comdty,FCX72 Comdty,LAG98 Comdty,LNG98 Comdty,LXG98 Comdty,LLN98 Comdty,LPF98 Comdty,JON68 Comdty,ECU00 Curncy,CDU88 Curncy,ADU88 Curncy,JYU88 Curncy,SFU88 Curncy,BPU88 Curncy,NVZ98 Curncy,SEZ03 Curncy,NOZ03 Curncy,BRM96 Curncy,RAZ97 Curncy,RUH99 Curncy,PEZ96 Curncy,DXU88 Curncy
PTU01 Index,SPH84 Index,IBV92 Index,HIX92 Index,EOQ89 Index,ESM99 Index,VGM00 Index,Z Z89 Index,CFN89 Index,GXU92 Index,SMK92 Index,NKU90 Index,TPH92 Index,XPH02 Index,UXF05 Index,TYH84 Comdty,FVH90 Comdty,TUM92 Comdty,CNU91 Comdty,RXU92 Comdty,OEU93 Comdty,DUH99 Comdty,G Z84 Comdty,IKU11 Comdty,OATH14 Comdty,JBU87 Comdty,EDZ88 Comdty,ERQ99 Comdty,L Z89 Comdty,BAM92 Comdty,XMU89 Comdty,YMH91 Comdty,CLF84 Comdty,COJ89 Comdty,NGF91 Comdty,QSH90 Comdty,HOG87 Comdty,XBWQ87 Comdty,W Z60 Comdty,C H61 Comdty,S X60 Comdty,KWN71 Comdty,SMZ60 Comdty,BOU60 Comdty,CTH62 Comdty,CCN61 Comdty,KCH74 Comdty,SBV62 Comdty,LHG88 Comdty,LCM66 Comdty,HGQ89 Comdty,GCQ75 Comdty,SIQ75 Comdty,PLQ87 Comdty,PAQ87 Comdty,O K61 Comdty,MWK71 Comdty,RRU90 Comdty,FCH73 Comdty,LAH98 Comdty,LNH98 Comdty,LXH98 Comdty,LLQ98 Comdty,LPG98 Comdty,JOU68 Comdty,ECZ00 Curncy,CDZ88 Curncy,ADZ88 Curncy,JYZ88 Curncy,SFZ88 Curncy,BPZ88 Curncy,NVH99 Curncy,SEH04 Curncy,NOH04 Curncy,BRN96 Curncy,RAF98 Curncy,RUJ99 Curncy,PEH97 Curncy,DXZ88 Curncy
PTZ01 Index,SPM84 Index,IBX92 Index,HIZ92 Index,EOU89 Index,ESU99 Index,VGU00 Index,Z H90 Index,CFQ89 Index,GXZ92 Index,SMM92 Index,NKZ90 Index,TPM92 Index,XPM02 Index,UXG05 Index,TYM84 Comdty,FVM90 Comdty,TUU92 Comdty,CNZ91 Comdty,RXZ92 Comdty,OEZ93 Comdty,DUM99 Comdty,G H85 Comdty,IKZ11 Comdty,OATM14 Comdty,JBZ87 Comdty,EDH89 Comdty,ERU99 Comdty,L H90 Comdty,BAU92 Comdty,XMZ89 Comdty,YMM91 Comdty,CLG84 Comdty,COK89 Comdty,NGG91 Comdty,QSJ90 Comdty,HOH87 Comdty,XBWU87 Comdty,W H61 Comdty,C K61 Comdty,S F61 Comdty,KWU71 Comdty,SMF61 Comdty,BOV60 Comdty,CTK62 Comdty,CCU61 Comdty,KCK74 Comdty,SBH63 Comdty,LHJ88 Comdty,LCQ66 Comdty,HGU89 Comdty,GCU75 Comdty,SIU75 Comdty,PLU87 Comdty,PAU87 Comdty,O N61 Comdty,MWN71 Comdty,RRX90 Comdty,FCJ73 Comdty,LAJ98 Comdty,LNJ98 Comdty,LXJ98 Comdty,LLU98 Comdty,LPH98 Comdty,JOX68 Comdty,ECH01 Curncy,CDH89 Curncy,ADH89 Curncy,JYH89 Curncy,SFH89 Curncy,BPH89 Curncy,NVM99 Curncy,SEM04 Curncy,NOM04 Curncy,BRQ96 Curncy,RAG98 Curncy,RUK99 Curncy,PEM97 Curncy,DXH89 Curncy
PTH02 Index,SPU84 Index,IBZ92 Index,HIF93 Index,EOV89 Index,ESZ99 Index,VGZ00 Index,Z M90 Index,CFU89 Index,GXH93 Index,SMN92 Index,NKH91 Index,TPU92 Index,XPU02 Index,UXH05 Index,TYU84 Comdty,FVU90 Comdty,TUZ92 Comdty,CNH92 Comdty,RXH93 Comdty,OEH94 Comdty,DUU99 Comdty,G M85 Comdty,IKH12 Comdty,OATU14 Comdty,JBH88 Comdty,EDM89 Comdty,ERV99 Comdty,L M90 Comdty,BAZ92 Comdty,XMH90 Comdty,YMU91 Comdty,CLH84 Comdty,COM89 Comdty,NGH91 Comdty,QSK90 Comdty,HOJ87 Comdty,XBWV87 Comdty,W K61 Comdty,C N61 Comdty,S H61 Comdty,KWZ71 Comdty,SMH61 Comdty,BOZ60 Comdty,CTN62 Comdty,CCZ61 Comdty,KCM74 Comdty,SBK63 Comdty,LHM88 Comdty,LCV66 Comdty,HGV89 Comdty,GCV75 Comdty,SIV75 Comdty,PLV87 Comdty,PAV87 Comdty,O U61 Comdty,MWU71 Comdty,RRF91 Comdty,FCK73 Comdty,LAK98 Comdty,LNK98 Comdty,LXK98 Comdty,LLV98 Comdty,LPJ98 Comdty,JOF69 Comdty,ECM01 Curncy,CDM89 Curncy,ADM89 Curncy,JYM89 Curncy,SFM89 Curncy,BPM89 Curncy,NVU99 Curncy,SEU04 Curncy,NOU04 Curncy,BRU96 Curncy,RAH98 Curncy,RUM99 Curncy,PEU97 Curncy,DXM89 Curncy
PTM02 Index,SPZ84 Index,IBF93 Index,HIG93 Index,EOX89 Index,ESH00 Index,VGH01 Index,Z U90 Index,CFV89 Index,GXM93 Index,SMQ92 Index,NKM91 Index,TPZ92 Index,XPZ02 Index,UXK05 Index,TYZ84 Comdty,FVZ90 Comdty,TUH93 Comdty,CNM92 Comdty,RXM93 Comdty,OEM94 Comdty,DUZ99 Comdty,G U85 Comdty,IKM12 Comdty,OATZ14 Comdty,JBM88 Comdty,EDU89 Comdty,ERX99 Comdty,L U90 Comdty,BAH93 Comdty,XMM90 Comdty,YMZ91 Comdty,CLJ84 Comdty,CON89 Comdty,NGJ91 Comdty,QSM90 Comdty,HOK87 Comdty,XBWX87 Comdty,W N61 Comdty,C U61 Comdty,S K61 Comdty,KWH72 Comdty,SMK61 Comdty,BOF61 Comdty,CTV62 Comdty,CCH62 Comdty,KCN74 Comdty,SBN63 Comdty,LHN88 Comdty,LCZ66 Comdty,HGX89 Comdty,GCX75 Comdty,SIX75 Comdty,PLX87 Comdty,PAX87 Comdty,O Z61 Comdty,MWZ71 Comdty,RRH91 Comdty,FCQ73 Comdty,LAM98 Comdty,LNM98 Comdty,LXM98 Comdty,LLX98 Comdty,LPK98 Comdty,JOH69 Comdty,ECU01 Curncy,CDU89 Curncy,ADU89 Curncy,JYU89 Curncy,SFU89 Curncy,BPU89 Curncy,NVZ99 Curncy,SEZ04 Curncy,NOZ04 Curncy,BRV96 Curncy,RAJ98 Curncy,RUU99 Curncy,PEZ97 Curncy,DXU89 Curncy
PTU02 Index,SPH85 Index,IBG93 Index,HIH93 Index,EOZ89 Index,ESM00 Index,VGM01 Index,Z Z90 Index,CFX89 Index,GXU93 Index,SMU92 Index,NKU91 Index,TPH93 Index,XPH03 Index,UXM05 Index,TYH85 Comdty,FVH91 Comdty,TUM93 Comdty,CNU92 Comdty,RXU93 Comdty,OEU94 Comdty,DUH00 Comdty,G Z85 Comdty,IKU12 Comdty,OATH15 Comdty,JBU88 Comdty,EDZ89 Comdty,ERZ99 Comdty,L Z90 Comdty,BAM93 Comdty,XMU90 Comdty,YMH92 Comdty,CLK84 Comdty,COQ89 Comdty,NGK91 Comdty,QSN90 Comdty,HOM87 Comdty,XBWZ87 Comdty,W U61 Comdty,C Z61 Comdty,S N61 Comdty,KWK72 Comdty,SMN61 Comdty,BOH61 Comdty,CTZ62 Comdty,CCK62 Comdty,KCU74 Comdty,SBU63 Comdty,LHQ88 Comdty,LCG67 Comdty,HGZ89 Comdty,GCZ75 Comdty,SIZ75 Comdty,PLZ87 Comdty,PAZ87 Comdty,O H62 Comdty,MWH72 Comdty,RRK91 Comdty,FCU73 Comdty,LAN98 Comdty,LNN98 Comdty,LXN98 Comdty,LLZ98 Comdty,LPM98 Comdty,JOK69 Comdty,ECZ01 Curncy,CDZ89 Curncy,ADZ89 Curncy,JYZ89 Curncy,SFZ89 Curncy,BPZ89 Curncy,NVH00 Curncy,SEH05 Curncy,NOH05 Curncy,BRX96 Curncy,RAK98 Curncy,RUZ99 Curncy,PEH98 Curncy,DXZ89 Curncy
PTZ02 Index,SPM85 Index,IBH93 Index,HIJ93 Index,EOF90 Index,ESU00 Index,VGU01 Index,Z H91 Index,CFZ89 Index,GXZ93 Index,SMV92 Index,NKZ91 Index,TPM93 Index,XPM03 Index,UXQ05 Index,TYM85 Comdty,FVM91 Comdty,TUU93 Comdty,CNZ92 Comdty,RXZ93 Comdty,OEZ94 Comdty,DUM00 Comdty,G H86 Comdty,IKZ12 Comdty,OATM15 Comdty,JBZ88 Comdty,EDH90 Comdty,ERF00 Comdty,L H91 Comdty,BAU93 Comdty,XMZ90 Comdty,YMM92 Comdty,CLM84 Comdty,COU89 Comdty,NGM91 Comdty,QSQ90 Comdty,HON87 Comdty,XBWF88 Comdty,W Z61 Comdty,C H62 Comdty,S U61 Comdty,KWN72 Comdty,SMQ61 Comdty,BOK61 Comdty,CTH63 Comdty,CCN62 Comdty,KCX74 Comdty,SBH64 Comdty,LHV88 Comdty,LCJ67 Comdty,HGF90 Comdty,GCF76 Comdty,SIF76 Comdty,PLF88 Comdty,PAF88 Comdty,O K62 Comdty,MWK72 Comdty,RRN91 Comdty,FCV73 Comdty,LAQ98 Comdty,LNQ98 Comdty,LXQ98 Comdty,LLF99 Comdty,LPN98 Comdty,JON69 Comdty,ECH02 Curncy,CDH90 Curncy,ADH90 Curncy,JYH90 Curncy,SFH90 Curncy,BPH90 Curncy,NVM00 Curncy,SEM05 Curncy,NOM05 Curncy,BRZ96 Curncy,RAM98 Curncy,RUH00 Curncy,PEM98 Curncy,DXH90 Curncy
PTH03 Index,SPU85 Index,IBJ93 Index,HIK93 Index,EOG90 Index,ESZ00 Index,VGZ01 Index,Z M91 Index,CFF90 Index,GXH94 Index,SMX92 Index,NKH92 Index,TPU93 Index,XPU03 Index,UXV05 Index,TYU85 Comdty,FVU91 Comdty,TUZ93 Comdty,CNH93 Comdty,RXH94 Comdty,OEH95 Comdty,DUU00 Comdty,G M86 Comdty,IKH13 Comdty,OATU15 Comdty,JBH89 Comdty,EDM90 Comdty,ERG00 Comdty,L M91 Comdty,BAZ93 Comdty,XMH91 Comdty,YMU92 Comdty,CLN84 Comdty,COV89 Comdty,NGN91 Comdty,QSU90 Comdty,HOQ87 Comdty,XBWG88 Comdty,W H62 Comdty,C K62 Comdty,S X61 Comdty,KWU72 Comdty,SMU61 Comdty,BON61 Comdty,CTK63 Comdty,CCU62 Comdty,KCZ74 Comdty,SBK64 Comdty,LHZ88 Comdty,LCM67 Comdty,HGG90 Comdty,GCG76 Comdty,SIG76 Comdty,PLG88 Comdty,PAG88 Comdty,O N62 Comdty,MWN72 Comdty,RRU91 Comdty,FCX73 Comdty,LAU98 Comdty,LNU98 Comdty,LXU98 Comdty,LLG99 Comdty,LPQ98 Comdty,JOU69 Comdty,ECM02 Curncy,CDM90 Curncy,ADM90 Curncy,JYM90 Curncy,SFM90 Curncy,BPM90 Curncy,NVU00 Curncy,SEU05 Curncy,NOU05 Curncy,BRF97 Curncy,RAN98 Curncy,RUM00 Curncy,PEU98 Curncy,DXM90 Curncy
PTM03 Index,SPZ85 Index,IBK93 Index,HIM93 Index,EOH90 Index,ESH01 Index,VGH02 Index,Z U91 Index,CFG90 Index,GXM94 Index,SMZ92 Index,NKM92 Index,TPZ93 Index,XPZ03 Index,UXX05 Index,TYZ85 Comdty,FVZ91 Comdty,TUH94 Comdty,CNM93 Comdty,RXM94 Comdty,OEM95 Comdty,DUZ00 Comdty,G U86 Comdty,IKM13 Comdty,OATZ15 Comdty,JBM89 Comdty,EDU90 Comdty,ERH00 Comdty,L U91 Comdty,BAH94 Comdty,XMM91 Comdty,YMZ92 Comdty,CLQ84 Comdty,COX89 Comdty,NGQ91 Comdty,QSV90 Comdty,HOU87 Comdty,XBWH88 Comdty,W K62 Comdty,C N62 Comdty,S F62 Comdty,KWZ72 Comdty,SMV61 Comdty,BOU61 Comdty,CTN63 Comdty,CCZ62 Comdty,KCH75 Comdty,SBN64 Comdty,LHG89 Comdty,LCQ67 Comdty,HGH90 Comdty,GCH76 Comdty,SIH76 Comdty,PLH88 Comdty,PAH88 Comdty,O U62 Comdty,MWU72 Comdty,RRX91 Comdty,FCH74 Comdty,LAV98 Comdty,LNV98 Comdty,LXV98 Comdty,LLH99 Comdty,LPU98 Comdty,JOX69 Comdty,ECU02 Curncy,CDU90 Curncy,ADU90 Curncy,JYU90 Curncy,SFU90 Curncy,BPU90 Curncy,NVZ00 Curncy,SEZ05 Curncy,NOZ05 Curncy,BRG97 Curncy,RAQ98 Curncy,RUU00 Curncy,PEZ98 Curncy,DXU90 Curncy
PTU03 Index,SPH86 Index,IBM93 Index,HIN93 Index,EOJ90 Index,ESM01 Index,VGM02 Index,Z Z91 Index,CFH90 Index,GXU94 Index,SMF93 Index,NKU92 Index,TPH94 Index,XPH04 Index,UXZ05 Index,TYH86 Comdty,FVH92 Comdty,TUM94 Comdty,CNU93 Comdty,RXU94 Comdty,OEU95 Comdty,DUH01 Comdty,G Z86 Comdty,IKU13 Comdty,OATH16 Comdty,JBU89 Comdty,EDZ90 Comdty,ERJ00 Comdty,L Z91 Comdty,BAM94 Comdty,XMU91 Comdty,YMH93 Comdty,CLU84 Comdty,COZ89 Comdty,NGU91 Comdty,QSX90 Comdty,HOV87 Comdty,XBWJ88 Comdty,W N62 Comdty,C U62 Comdty,S H62 Comdty,KWH73 Comdty,SMZ61 Comdty,BOV61 Comdty,CTV63 Comdty,CCH63 Comdty,KCK75 Comdty,SBU64 Comdty,LHJ89 Comdty,LCV67 Comdty,HGJ90 Comdty,GCJ76 Comdty,SIJ76 Comdty,PLJ88 Comdty,PAJ88 Comdty,O Z62 Comdty,MWZ72 Comdty,RRF92 Comdty,FCJ74 Comdty,LAX98 Comdty,LNX98 Comdty,LXX98 Comdty,LLJ99 Comdty,LPV98 Comdty,JOF70 Comdty,ECZ02 Curncy,CDZ90 Curncy,ADZ90 Curncy,JYZ90 Curncy,SFZ90 Curncy,BPZ90 Curncy,NVH01 Curncy,SEH06 Curncy,NOH06 Curncy,BRH97 Curncy,RAU98 Curncy,RUZ00 Curncy,PEH99 Curncy,DXZ90 Curncy
